Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Promotion Used,Days Between Purchases,Frequency Engagement,Subscription Flag,Previous Purchases Norm,Frequency Engagement Norm,Review Rating Norm,Loyalty Score,Customer Loyalty Type,Purchase Amount Norm,Customer Value Score,Customer Value Tier,Ideal Customer,Age Group,Promo Flag
1262,20,Male,Shirt,Clothing,29,Connecticut,L,Maroon,Summer,2.8,No,Next Day Air,Yes,2,Credit Card,Fortnightly,1,14,0.07142857142857142,0,0.02040816326530612,0.4902234636871508,0.11999999999999988,0.15075994755444075,At Risk,0.11250000000000004,0.09000000000000004,Low Value,Other Customer,18-25,1
1263,29,Male,Boots,Footwear,62,Tennessee,L,Brown,Winter,4.8,No,Store Pickup,Yes,44,Venmo,Monthly,1,30,0.03333333333333333,0,0.8775510204081631,0.21834264432029793,0.9199999999999999,0.631361171284156,Champion,0.525,0.42000000000000004,Medium Value,Other Customer,26-35,1
1264,41,Male,Hoodie,Clothing,70,Delaware,L,Brown,Winter,4.6,No,2-Day Shipping,Yes,1,Credit Card,Fortnightly,1,14,0.07142857142857142,0,0.0,0.4902234636871508,0.8399999999999999,0.2485558659217877,At Risk,0.625,0.5,Medium Value,Other Customer,36-45,1
1265,52,Male,Sweater,Clothing,92,Vermont,S,Blue,Winter,2.5,No,Next Day Air,Yes,1,Venmo,Fortnightly,1,14,0.07142857142857142,0,0.0,0.4902234636871508,0.0,0.1225558659217877,At Risk,0.9000000000000001,0.7200000000000002,High Value,Other Customer,46-55,1
1266,32,Male,Shirt,Clothing,79,Louisiana,M,Lavender,Spring,2.7,No,Next Day Air,Yes,27,Bank Transfer,Weekly,1,7,0.14285714285714285,0,0.5306122448979591,1.0,0.08000000000000007,0.5273061224489796,Loyal,0.7375,0.5900000000000001,Medium Value,Other Customer,26-35,1
1267,20,Male,Blouse,Clothing,31,North Dakota,M,Peach,Fall,4.0,No,Standard,Yes,14,Debit Card,Quarterly,1,90,0.011111111111111112,0,0.26530612244897955,0.05974549968963377,0.6000000000000001,0.2375894361468982,At Risk,0.1375,0.11000000000000001,Low Value,Other Customer,18-25,1
1268,47,Male,T-shirt,Clothing,83,Oregon,S,Gray,Spring,2.7,No,Standard,Yes,41,Cash,Weekly,1,7,0.14285714285714285,0,0.8163265306122448,1.0,0.08000000000000007,0.6701632653061225,Champion,0.7875000000000001,0.6300000000000001,Medium Value,Other Customer,46-55,1
1269,23,Male,Jacket,Outerwear,88,Idaho,XL,Charcoal,Winter,2.9,No,Next Day Air,Yes,25,Debit Card,Fortnightly,1,14,0.07142857142857142,0,0.4897959183673469,0.4902234636871508,0.15999999999999992,0.3914538251054611,Regular,0.8500000000000001,0.6800000000000002,Medium Value,Other Customer,18-25,1
1270,43,Male,Jewelry,Accessories,53,Vermont,M,Lavender,Spring,3.0,No,Standard,Yes,47,PayPal,Quarterly,1,90,0.011111111111111112,0,0.9387755102040816,0.05974549968963377,0.20000000000000018,0.5143241300244492,Loyal,0.4125000000000001,0.33000000000000007,Low Value,Other Customer,36-45,1
1271,67,Male,Hoodie,Clothing,98,West Virginia,M,Green,Fall,3.3,No,Standard,Yes,20,Cash,Annually,1,365,0.0027397260273972603,0,0.38775510204081626,0.0,0.32000000000000006,0.24187755102040814,At Risk,0.9750000000000001,0.7800000000000001,High Value,Other Customer,65+,1
1272,70,Male,Jewelry,Accessories,57,Kentucky,S,Gray,Spring,4.3,No,Store Pickup,Yes,42,PayPal,Annually,1,365,0.0027397260273972603,0,0.836734693877551,0.0,0.72,0.5263673469387755,Loyal,0.4625,0.37000000000000005,Medium Value,Other Customer,65+,1
1273,35,Male,Sandals,Footwear,80,Wisconsin,M,Orange,Winter,4.4,No,Express,Yes,16,Bank Transfer,Monthly,1,30,0.03333333333333333,0,0.3061224489795918,0.21834264432029793,0.7600000000000002,0.3216468855698704,Regular,0.75,0.6000000000000001,Medium Value,Other Customer,26-35,1
1274,41,Male,Jeans,Clothing,29,Mississippi,L,Silver,Spring,4.1,No,Next Day Air,Yes,32,Credit Card,Quarterly,1,90,0.011111111111111112,0,0.6326530612244897,0.05974549968963377,0.6399999999999999,0.4272629055346533,Regular,0.11250000000000004,0.09000000000000004,Low Value,Other Customer,36-45,1
1275,54,Male,Hat,Accessories,73,Missouri,M,Olive,Spring,3.1,No,2-Day Shipping,Yes,37,PayPal,Quarterly,1,90,0.011111111111111112,0,0.7346938775510203,0.05974549968963377,0.2400000000000002,0.41828331369791866,Regular,0.6625000000000001,0.5300000000000001,Medium Value,Other Customer,46-55,1
1276,55,Male,Sweater,Clothing,32,Arkansas,S,Turquoise,Fall,4.5,No,Standard,Yes,1,PayPal,Monthly,1,30,0.03333333333333333,0,0.0,0.21834264432029793,0.8,0.17458566108007448,At Risk,0.15000000000000002,0.12000000000000002,Low Value,Other Customer,46-55,1
1277,51,Male,Boots,Footwear,68,Wyoming,L,Turquoise,Spring,4.8,No,Next Day Air,Yes,37,Bank Transfer,Weekly,1,7,0.14285714285714285,0,0.7346938775510203,1.0,0.9199999999999999,0.7553469387755102,Champion,0.6000000000000001,0.4800000000000001,Medium Value,Other Customer,46-55,1
1278,19,Male,Blouse,Clothing,97,Rhode Island,L,Green,Spring,5.0,No,Express,Yes,5,Venmo,Quarterly,1,90,0.011111111111111112,0,0.08163265306122448,0.05974549968963377,1.0,0.2057527014530207,At Risk,0.9625000000000001,0.7700000000000001,High Value,Other Customer,18-25,1
1279,28,Male,Shorts,Clothing,98,Utah,M,Violet,Fall,2.8,No,Next Day Air,Yes,31,Venmo,Fortnightly,1,14,0.07142857142857142,0,0.6122448979591836,0.4902234636871508,0.11999999999999988,0.44667831490137944,Regular,0.9750000000000001,0.7800000000000001,High Value,Other Customer,26-35,1
1280,63,Male,Hoodie,Clothing,56,Maryland,L,Charcoal,Fall,3.7,No,Express,Yes,18,Debit Card,Annually,1,365,0.0027397260273972603,0,0.346938775510204,0.0,0.4800000000000002,0.24546938775510202,At Risk,0.45000000000000007,0.3600000000000001,Low Value,Other Customer,56-65,1
1281,30,Male,Pants,Clothing,78,Georgia,L,White,Winter,4.4,No,2-Day Shipping,Yes,39,Venmo,Quarterly,1,90,0.011111111111111112,0,0.7755102040816325,0.05974549968963377,0.7600000000000002,0.5166914769632247,Loyal,0.7250000000000001,0.5800000000000001,Medium Value,Other Customer,26-35,1
1282,29,Male,Belt,Accessories,81,New Jersey,M,Olive,Spring,4.5,No,Store Pickup,Yes,8,Venmo,Fortnightly,1,14,0.07142857142857142,0,0.14285714285714285,0.4902234636871508,0.8,0.31398443735035914,Regular,0.7625,0.61,Medium Value,Other Customer,26-35,1
1283,24,Male,Shirt,Clothing,68,New Hampshire,L,Violet,Winter,3.0,No,Free Shipping,Yes,20,Venmo,Monthly,1,30,0.03333333333333333,0,0.38775510204081626,0.21834264432029793,0.20000000000000018,0.27846321210048264,Regular,0.6000000000000001,0.4800000000000001,Medium Value,Other Customer,18-25,1
1284,69,Male,Shirt,Clothing,94,Oregon,M,Violet,Winter,3.9,No,2-Day Shipping,Yes,23,Debit Card,Quarterly,1,90,0.011111111111111112,0,0.44897959183673464,0.05974549968963377,0.56,0.32342617084077574,Regular,0.925,0.7400000000000001,High Value,Other Customer,65+,1
1285,65,Male,Dress,Clothing,93,Arkansas,M,Black,Spring,3.9,No,Express,Yes,38,PayPal,Fortnightly,1,14,0.07142857142857142,0,0.7551020408163265,0.4902234636871508,0.56,0.5841068863299509,Loyal,0.9125000000000001,0.7300000000000001,High Value,Other Customer,56-65,1
1286,64,Male,Gloves,Accessories,99,North Carolina,M,Charcoal,Fall,3.5,No,Next Day Air,Yes,45,Bank Transfer,Fortnightly,1,14,0.07142857142857142,0,0.8979591836734693,0.4902234636871508,0.40000000000000013,0.6315354577585224,Champion,0.9875,0.79,High Value,Ideal Customer,56-65,1
1287,40,Male,Gloves,Accessories,49,West Virginia,L,Yellow,Winter,4.9,No,Next Day Air,Yes,44,Debit Card,Fortnightly,1,14,0.07142857142857142,0,0.8775510204081631,0.4902234636871508,0.9600000000000002,0.7053313761258693,Champion,0.36250000000000004,0.29000000000000004,Low Value,Other Customer,36-45,1
1288,24,Male,Jeans,Clothing,28,Utah,XL,Blue,Winter,3.4,No,Standard,Yes,20,PayPal,Monthly,1,30,0.03333333333333333,0,0.38775510204081626,0.21834264432029793,0.3600000000000001,0.3024632121004826,Regular,0.10000000000000003,0.08000000000000003,Low Value,Other Customer,18-25,1
1289,66,Male,Belt,Accessories,93,South Dakota,XL,Charcoal,Winter,4.1,No,Standard,Yes,34,PayPal,Fortnightly,1,14,0.07142857142857142,0,0.673469387755102,0.4902234636871508,0.6399999999999999,0.5552905597993387,Loyal,0.9125000000000001,0.7300000000000001,High Value,Other Customer,65+,1
1290,35,Male,Jacket,Outerwear,24,New Hampshire,M,Red,Fall,2.9,No,Next Day Air,Yes,10,PayPal,Weekly,1,7,0.14285714285714285,0,0.18367346938775508,1.0,0.15999999999999992,0.3658367346938775,Regular,0.050000000000000044,0.040000000000000036,Low Value,Other Customer,26-35,1
1291,67,Male,Skirt,Clothing,35,Maryland,M,Indigo,Spring,3.4,No,Free Shipping,Yes,3,PayPal,Annually,1,365,0.0027397260273972603,0,0.04081632653061225,0.0,0.3600000000000001,0.07440816326530614,At Risk,0.1875,0.15000000000000002,Low Value,Other Customer,65+,1
1292,69,Male,Sandals,Footwear,68,South Dakota,S,Beige,Spring,3.2,No,2-Day Shipping,Yes,23,Debit Card,Fortnightly,1,14,0.07142857142857142,0,0.44897959183673464,0.4902234636871508,0.28000000000000025,0.38904566184015504,Regular,0.6000000000000001,0.4800000000000001,Medium Value,Other Customer,65+,1
1294,23,Male,Sweater,Clothing,74,Florida,XL,Yellow,Fall,4.1,No,Standard,Yes,30,Debit Card,Annually,1,365,0.0027397260273972603,0,0.5918367346938774,0.0,0.6399999999999999,0.3919183673469387,Regular,0.675,0.54,Medium Value,Other Customer,18-25,1
1295,27,Male,Shirt,Clothing,64,Texas,M,Silver,Summer,4.5,No,Standard,Yes,21,Cash,Quarterly,1,90,0.011111111111111112,0,0.4081632653061224,0.05974549968963377,0.8,0.3390180075754696,Regular,0.55,0.44000000000000006,Medium Value,Other Customer,26-35,1
1296,30,Male,Sneakers,Footwear,60,New Mexico,M,Olive,Fall,2.8,No,Standard,Yes,50,PayPal,Weekly,1,7,0.14285714285714285,0,1.0,1.0,0.11999999999999988,0.768,Champion,0.5,0.4,Medium Value,Other Customer,26-35,1
1297,48,Male,Jeans,Clothing,29,South Dakota,S,Teal,Spring,2.8,No,Express,Yes,16,Cash,Fortnightly,1,14,0.07142857142857142,0,0.3061224489795918,0.4902234636871508,0.11999999999999988,0.29361709041158357,Regular,0.11250000000000004,0.09000000000000004,Low Value,Other Customer,46-55,1
1298,44,Male,Sandals,Footwear,85,New Jersey,M,Silver,Summer,4.6,No,Standard,Yes,32,Venmo,Annually,1,365,0.0027397260273972603,0,0.6326530612244897,0.0,0.8399999999999999,0.4423265306122448,Regular,0.8125,0.65,Medium Value,Other Customer,36-45,1
1299,29,Male,Pants,Clothing,81,Indiana,S,Indigo,Summer,3.0,No,Free Shipping,Yes,14,Bank Transfer,Fortnightly,1,14,0.07142857142857142,0,0.26530612244897955,0.4902234636871508,0.20000000000000018,0.2852089271462775,Regular,0.7625,0.61,Medium Value,Other Customer,26-35,1
1300,29,Male,Belt,Accessories,23,Louisiana,L,Teal,Fall,3.6,No,2-Day Shipping,Yes,42,Venmo,Fortnightly,1,14,0.07142857142857142,0,0.836734693877551,0.4902234636871508,0.44000000000000017,0.6069232128605633,Champion,0.03750000000000003,0.030000000000000027,Low Value,Other Customer,26-35,1
1301,67,Male,T-shirt,Clothing,100,West Virginia,M,Charcoal,Spring,4.5,No,Next Day Air,Yes,47,Credit Card,Quarterly,1,90,0.011111111111111112,0,0.9387755102040816,0.05974549968963377,0.8,0.6043241300244493,Champion,1.0,0.8,High Value,Ideal Customer,65+,1
1302,42,Male,Shirt,Clothing,54,Maine,M,Orange,Fall,5.0,No,Express,Yes,21,Debit Card,Weekly,1,7,0.14285714285714285,0,0.4081632653061224,1.0,1.0,0.6040816326530613,Champion,0.42500000000000004,0.3400000000000001,Low Value,Other Customer,36-45,1
1303,23,Male,Sneakers,Footwear,25,Idaho,M,Gold,Fall,2.9,No,Next Day Air,Yes,37,Credit Card,Monthly,1,30,0.03333333333333333,0,0.7346938775510203,0.21834264432029793,0.15999999999999992,0.4459325998555846,Regular,0.0625,0.05,Low Value,Other Customer,18-25,1
1304,34,Male,Blouse,Clothing,32,New York,L,Silver,Summer,3.1,No,Next Day Air,Yes,10,Credit Card,Annually,1,365,0.0027397260273972603,0,0.18367346938775508,0.0,0.2400000000000002,0.12783673469387757,At Risk,0.15000000000000002,0.12000000000000002,Low Value,Other Customer,26-35,1
1305,64,Male,Backpack,Accessories,63,Montana,S,Orange,Spring,4.0,No,2-Day Shipping,Yes,18,PayPal,Quarterly,1,90,0.011111111111111112,0,0.346938775510204,0.05974549968963377,0.6000000000000001,0.27840576267751044,Regular,0.5375000000000001,0.4300000000000001,Medium Value,Other Customer,56-65,1
1306,31,Male,Pants,Clothing,56,Mississippi,XL,Peach,Spring,4.5,No,Express,Yes,2,PayPal,Quarterly,1,90,0.011111111111111112,0,0.02040816326530612,0.05974549968963377,0.8,0.1451404565550615,At Risk,0.45000000000000007,0.3600000000000001,Low Value,Other Customer,26-35,1
1307,54,Male,Sweater,Clothing,33,Alaska,L,Brown,Winter,4.5,No,Next Day Air,Yes,40,PayPal,Annually,1,365,0.0027397260273972603,0,0.7959183673469387,0.0,0.8,0.5179591836734694,Loyal,0.16250000000000003,0.13000000000000003,Low Value,Other Customer,46-55,1
1308,23,Male,Coat,Outerwear,32,Missouri,L,Black,Summer,3.1,No,Express,Yes,43,PayPal,Annually,1,365,0.0027397260273972603,0,0.8571428571428571,0.0,0.2400000000000002,0.4645714285714286,Regular,0.15000000000000002,0.12000000000000002,Low Value,Other Customer,18-25,1
1309,59,Male,Dress,Clothing,38,Rhode Island,L,Red,Summer,4.4,No,Next Day Air,Yes,14,Credit Card,Quarterly,1,90,0.011111111111111112,0,0.26530612244897955,0.05974549968963377,0.7600000000000002,0.2615894361468982,At Risk,0.22500000000000003,0.18000000000000005,Low Value,Other Customer,56-65,1
1310,32,Male,Blouse,Clothing,21,Hawaii,L,Lavender,Summer,4.7,No,Store Pickup,Yes,41,Cash,Quarterly,1,90,0.011111111111111112,0,0.8163265306122448,0.05974549968963377,0.8800000000000001,0.5550996402285309,Loyal,0.012500000000000011,0.010000000000000009,Low Value,Other Customer,26-35,1
1311,43,Male,Hoodie,Clothing,59,South Carolina,L,Brown,Winter,3.1,No,Store Pickup,Yes,38,Credit Card,Quarterly,1,90,0.011111111111111112,0,0.7551020408163265,0.05974549968963377,0.2400000000000002,0.42848739533057173,Regular,0.48750000000000004,0.39000000000000007,Medium Value,Other Customer,36-45,1
1312,32,Male,Shoes,Footwear,87,Tennessee,M,Maroon,Fall,4.2,No,Express,Yes,12,Venmo,Annually,1,365,0.0027397260273972603,0,0.22448979591836735,0.0,0.6800000000000002,0.2142448979591837,At Risk,0.8375000000000001,0.6700000000000002,Medium Value,Other Customer,26-35,1
1313,66,Male,T-shirt,Clothing,79,Missouri,M,Violet,Winter,3.0,No,Store Pickup,Yes,19,Bank Transfer,Monthly,1,30,0.03333333333333333,0,0.36734693877551017,0.21834264432029793,0.20000000000000018,0.26825913046782957,Regular,0.7375,0.5900000000000001,Medium Value,Other Customer,65+,1
1315,42,Male,Boots,Footwear,67,Missouri,S,Magenta,Summer,3.4,No,Free Shipping,Yes,49,Debit Card,Annually,1,365,0.0027397260273972603,0,0.9795918367346937,0.0,0.3600000000000001,0.5437959183673469,Loyal,0.5875,0.47000000000000003,Medium Value,Other Customer,36-45,1
1316,56,Male,Shorts,Clothing,75,Mississippi,L,Green,Spring,4.2,No,2-Day Shipping,Yes,29,Debit Card,Quarterly,1,90,0.011111111111111112,0,0.5714285714285714,0.05974549968963377,0.6800000000000002,0.4026506606366942,Regular,0.6875,0.55,Medium Value,Other Customer,56-65,1
1317,28,Male,Belt,Accessories,32,Arkansas,S,Lavender,Spring,4.6,No,Standard,Yes,14,Debit Card,Fortnightly,1,14,0.07142857142857142,0,0.26530612244897955,0.4902234636871508,0.8399999999999999,0.3812089271462774,Regular,0.15000000000000002,0.12000000000000002,Low Value,Other Customer,26-35,1
1318,28,Male,Pants,Clothing,43,Kentucky,M,Green,Spring,2.8,No,Free Shipping,Yes,19,Cash,Monthly,1,30,0.03333333333333333,0,0.36734693877551017,0.21834264432029793,0.11999999999999988,0.25625913046782955,At Risk,0.2875,0.22999999999999998,Low Value,Other Customer,26-35,1
1319,52,Male,Shorts,Clothing,93,Connecticut,M,Maroon,Spring,2.7,No,Express,Yes,19,Credit Card,Fortnightly,1,14,0.07142857142857142,0,0.36734693877551017,0.4902234636871508,0.08000000000000007,0.3182293353095428,Regular,0.9125000000000001,0.7300000000000001,High Value,Other Customer,46-55,1
1320,65,Male,Sunglasses,Accessories,24,Oklahoma,M,Magenta,Spring,4.0,No,Standard,Yes,48,Bank Transfer,Weekly,1,7,0.14285714285714285,0,0.9591836734693877,1.0,0.6000000000000001,0.8195918367346938,Champion,0.050000000000000044,0.040000000000000036,Low Value,Other Customer,56-65,1
1321,56,Male,Hat,Accessories,31,California,XL,Teal,Fall,3.1,No,Free Shipping,Yes,19,Debit Card,Annually,1,365,0.0027397260273972603,0,0.36734693877551017,0.0,0.2400000000000002,0.21967346938775512,At Risk,0.1375,0.11000000000000001,Low Value,Other Customer,56-65,1
1322,59,Male,T-shirt,Clothing,84,Missouri,L,Orange,Winter,3.7,No,Express,Yes,45,Bank Transfer,Quarterly,1,90,0.011111111111111112,0,0.8979591836734693,0.05974549968963377,0.4800000000000002,0.5359159667591431,Loyal,0.8,0.6400000000000001,Medium Value,Other Customer,56-65,1
1323,23,Male,Pants,Clothing,74,Washington,M,Violet,Winter,4.0,No,Next Day Air,Yes,17,Bank Transfer,Quarterly,1,90,0.011111111111111112,0,0.32653061224489793,0.05974549968963377,0.6000000000000001,0.2682016810448574,Regular,0.675,0.54,Medium Value,Other Customer,18-25,1
1324,58,Male,Shorts,Clothing,62,New York,M,Yellow,Spring,4.6,No,Standard,Yes,15,Debit Card,Quarterly,1,90,0.011111111111111112,0,0.28571428571428564,0.05974549968963377,0.8399999999999999,0.2837935177795512,Regular,0.525,0.42000000000000004,Medium Value,Other Customer,56-65,1
1325,39,Male,Jewelry,Accessories,77,Indiana,S,Orange,Summer,3.8,No,Free Shipping,Yes,11,Credit Card,Fortnightly,1,14,0.07142857142857142,0,0.2040816326530612,0.4902234636871508,0.52,0.3025966822483183,Regular,0.7125,0.5700000000000001,Medium Value,Other Customer,36-45,1
1326,28,Male,Backpack,Accessories,73,Oregon,L,Gold,Summer,3.5,No,Express,Yes,1,Cash,Monthly,1,30,0.03333333333333333,0,0.0,0.21834264432029793,0.40000000000000013,0.11458566108007451,At Risk,0.6625000000000001,0.5300000000000001,Medium Value,Other Customer,26-35,1
1328,52,Male,Coat,Outerwear,40,Florida,M,Turquoise,Winter,2.8,No,Standard,Yes,37,Cash,Weekly,1,7,0.14285714285714285,0,0.7346938775510203,1.0,0.11999999999999988,0.6353469387755102,Champion,0.25,0.2,Low Value,Other Customer,46-55,1
1329,37,Male,Sweater,Clothing,97,Rhode Island,M,Orange,Winter,3.7,No,Standard,Yes,40,Bank Transfer,Weekly,1,7,0.14285714285714285,0,0.7959183673469387,1.0,0.4800000000000002,0.7199591836734693,Champion,0.9625000000000001,0.7700000000000001,High Value,Ideal Customer,36-45,1
1330,70,Male,Gloves,Accessories,63,Texas,M,Indigo,Fall,3.3,No,Express,Yes,50,PayPal,Quarterly,1,90,0.011111111111111112,0,1.0,0.05974549968963377,0.32000000000000006,0.5629363749224084,Loyal,0.5375000000000001,0.4300000000000001,Medium Value,Other Customer,65+,1
1331,30,Male,Handbag,Accessories,65,Vermont,M,Charcoal,Fall,2.9,No,Standard,Yes,20,PayPal,Fortnightly,1,14,0.07142857142857142,0,0.38775510204081626,0.4902234636871508,0.15999999999999992,0.3404334169421958,Regular,0.5625,0.45,Medium Value,Other Customer,26-35,1
1332,38,Male,Socks,Clothing,91,Maryland,M,Lavender,Spring,3.2,No,Standard,Yes,8,PayPal,Fortnightly,1,14,0.07142857142857142,0,0.14285714285714285,0.4902234636871508,0.28000000000000025,0.23598443735035918,At Risk,0.8875,0.71,High Value,Other Customer,36-45,1
1333,66,Male,Hoodie,Clothing,60,Alaska,S,Gold,Spring,4.3,No,Store Pickup,Yes,16,Bank Transfer,Quarterly,1,90,0.011111111111111112,0,0.3061224489795918,0.05974549968963377,0.72,0.2759975994122043,Regular,0.5,0.4,Medium Value,Other Customer,65+,1
1334,29,Male,Pants,Clothing,69,Idaho,M,Lavender,Winter,2.7,No,Next Day Air,Yes,9,Bank Transfer,Quarterly,1,90,0.011111111111111112,0,0.16326530612244897,0.05974549968963377,0.08000000000000007,0.10856902798363294,At Risk,0.6125,0.49000000000000005,Medium Value,Other Customer,26-35,1
1336,56,Male,Boots,Footwear,49,Nevada,M,Lavender,Fall,4.8,No,2-Day Shipping,Yes,26,Credit Card,Weekly,1,7,0.14285714285714285,0,0.510204081632653,1.0,0.9199999999999999,0.6431020408163265,Champion,0.36250000000000004,0.29000000000000004,Low Value,Other Customer,56-65,1
1337,23,Male,Sneakers,Footwear,85,Oregon,M,Charcoal,Spring,4.8,No,Store Pickup,Yes,44,Debit Card,Fortnightly,1,14,0.07142857142857142,0,0.8775510204081631,0.4902234636871508,0.9199999999999999,0.6993313761258693,Champion,0.8125,0.65,Medium Value,Other Customer,18-25,1
1338,37,Male,Sweater,Clothing,86,Tennessee,L,Silver,Spring,3.4,No,Express,Yes,19,Credit Card,Fortnightly,1,14,0.07142857142857142,0,0.36734693877551017,0.4902234636871508,0.3600000000000001,0.36022933530954276,Regular,0.825,0.66,Medium Value,Other Customer,36-45,1
1339,56,Male,Handbag,Accessories,51,Alabama,S,Yellow,Winter,2.6,No,Standard,Yes,43,PayPal,Fortnightly,1,14,0.07142857142857142,0,0.8571428571428571,0.4902234636871508,0.040000000000000036,0.5571272944932163,Loyal,0.38750000000000007,0.31000000000000005,Low Value,Other Customer,56-65,1
1340,36,Male,Belt,Accessories,56,Indiana,L,Olive,Winter,5.0,No,Next Day Air,Yes,5,Bank Transfer,Quarterly,1,90,0.011111111111111112,0,0.08163265306122448,0.05974549968963377,1.0,0.2057527014530207,At Risk,0.45000000000000007,0.3600000000000001,Low Value,Other Customer,36-45,1
1341,40,Male,Belt,Accessories,72,Idaho,M,Peach,Fall,4.4,No,Next Day Air,Yes,5,Debit Card,Quarterly,1,90,0.011111111111111112,0,0.08163265306122448,0.05974549968963377,0.7600000000000002,0.1697527014530207,At Risk,0.65,0.52,Medium Value,Other Customer,36-45,1
1343,57,Male,Sunglasses,Accessories,43,Arizona,XL,Yellow,Summer,3.4,No,2-Day Shipping,Yes,11,Bank Transfer,Monthly,1,30,0.03333333333333333,0,0.2040816326530612,0.21834264432029793,0.3600000000000001,0.2106264774066051,At Risk,0.2875,0.22999999999999998,Low Value,Other Customer,56-65,1
1344,68,Male,Sneakers,Footwear,56,Florida,M,Indigo,Spring,3.4,No,Standard,Yes,34,Bank Transfer,Monthly,1,30,0.03333333333333333,0,0.673469387755102,0.21834264432029793,0.3600000000000001,0.4453203549576255,Regular,0.45000000000000007,0.3600000000000001,Low Value,Other Customer,65+,1
1345,56,Male,T-shirt,Clothing,37,New York,S,Violet,Fall,4.9,No,Next Day Air,Yes,14,Cash,Annually,1,365,0.0027397260273972603,0,0.26530612244897955,0.0,0.9600000000000002,0.2766530612244898,Regular,0.21250000000000002,0.17000000000000004,Low Value,Other Customer,56-65,1
1346,40,Male,Dress,Clothing,21,Nebraska,M,White,Fall,3.6,No,Standard,Yes,42,Venmo,Weekly,1,7,0.14285714285714285,0,0.836734693877551,1.0,0.44000000000000017,0.7343673469387755,Champion,0.012500000000000011,0.010000000000000009,Low Value,Other Customer,36-45,1
1347,44,Male,Hoodie,Clothing,91,Mississippi,L,White,Winter,3.0,No,Free Shipping,Yes,15,Venmo,Fortnightly,1,14,0.07142857142857142,0,0.28571428571428564,0.4902234636871508,0.20000000000000018,0.29541300877893056,Regular,0.8875,0.71,High Value,Other Customer,36-45,1
1348,44,Male,Sweater,Clothing,95,Vermont,M,Cyan,Summer,3.9,No,2-Day Shipping,Yes,47,Bank Transfer,Monthly,1,30,0.03333333333333333,0,0.9387755102040816,0.21834264432029793,0.56,0.6079734161821152,Champion,0.9375,0.75,High Value,Ideal Customer,36-45,1
1349,19,Male,Belt,Accessories,54,Nebraska,XL,Purple,Spring,3.2,No,Standard,Yes,23,Credit Card,Fortnightly,1,14,0.07142857142857142,0,0.44897959183673464,0.4902234636871508,0.28000000000000025,0.38904566184015504,Regular,0.42500000000000004,0.3400000000000001,Low Value,Other Customer,18-25,1
1350,21,Male,Socks,Clothing,36,South Carolina,XL,Black,Spring,3.2,No,Next Day Air,Yes,23,Cash,Fortnightly,1,14,0.07142857142857142,0,0.44897959183673464,0.4902234636871508,0.28000000000000025,0.38904566184015504,Regular,0.2,0.16000000000000003,Low Value,Other Customer,18-25,1
1351,31,Male,Sunglasses,Accessories,71,Delaware,M,Orange,Fall,4.3,No,Next Day Air,Yes,1,Cash,Quarterly,1,90,0.011111111111111112,0,0.0,0.05974549968963377,0.72,0.12293637492240844,At Risk,0.6375000000000001,0.5100000000000001,Medium Value,Other Customer,26-35,1
1352,30,Male,Coat,Outerwear,31,Vermont,L,Maroon,Summer,2.8,No,2-Day Shipping,Yes,28,Bank Transfer,Quarterly,1,90,0.011111111111111112,0,0.5510204081632653,0.05974549968963377,0.11999999999999988,0.30844657900404104,Regular,0.1375,0.11000000000000001,Low Value,Other Customer,26-35,1
1353,65,Male,Hat,Accessories,89,Indiana,XL,Orange,Spring,4.5,No,Next Day Air,Yes,37,Credit Card,Fortnightly,1,14,0.07142857142857142,0,0.7346938775510203,0.4902234636871508,0.8,0.6099028046972979,Champion,0.8625,0.6900000000000001,Medium Value,Other Customer,56-65,1
1354,39,Male,Pants,Clothing,83,Oregon,M,Teal,Winter,4.1,No,Next Day Air,Yes,4,Cash,Quarterly,1,90,0.011111111111111112,0,0.061224489795918366,0.05974549968963377,0.6399999999999999,0.14154861982036762,At Risk,0.7875000000000001,0.6300000000000001,Medium Value,Other Customer,36-45,1
1355,64,Male,Backpack,Accessories,42,Maryland,M,Gray,Spring,3.6,No,2-Day Shipping,Yes,21,Bank Transfer,Quarterly,1,90,0.011111111111111112,0,0.4081632653061224,0.05974549968963377,0.44000000000000017,0.28501800757546963,Regular,0.275,0.22000000000000003,Low Value,Other Customer,56-65,1
1356,59,Male,Shorts,Clothing,91,Florida,M,Blue,Summer,3.0,No,2-Day Shipping,Yes,50,PayPal,Fortnightly,1,14,0.07142857142857142,0,1.0,0.4902234636871508,0.20000000000000018,0.6525558659217877,Champion,0.8875,0.71,High Value,Ideal Customer,56-65,1
1357,49,Male,Jacket,Outerwear,61,Indiana,M,Cyan,Spring,4.0,No,Free Shipping,Yes,34,Bank Transfer,Annually,1,365,0.0027397260273972603,0,0.673469387755102,0.0,0.6000000000000001,0.42673469387755103,Regular,0.5125000000000001,0.4100000000000001,Medium Value,Other Customer,46-55,1
